signal_type,id_cliente,familia,month,prediccion,urgency,signal,categoria,signal_date,restock_date,metadata
type_1_model_prediction,26672,Familia C1,2026-01,1.2391562461853027,,Esta semana el cliente 26672 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,26757,Familia C1,2026-01,1.6231114864349365,,Esta semana el cliente 26757 podria comprar 2 unidades de Familia C1.,,,,
type_1_model_prediction,26759,Familia C1,2026-01,1.4704017639160156,,Esta semana el cliente 26759 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,26850,Familia C1,2026-01,1.4890086650848389,,Esta semana el cliente 26850 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,26898,Familia C1,2026-01,1.0537676811218262,,Esta semana el cliente 26898 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,26926,Familia C1,2026-01,1.3782621622085571,,Esta semana el cliente 26926 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,27161,Familia C1,2026-01,1.3670132160186768,,Esta semana el cliente 27161 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,27238,Familia C1,2026-01,1.0923670530319214,,Esta semana el cliente 27238 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,27275,Familia C1,2026-01,1.4251166582107544,,Esta semana el cliente 27275 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,27328,Familia C1,2026-01,1.5924028158187866,,Esta semana el cliente 27328 podria comprar 2 unidades de Familia C1.,,,,
type_1_model_prediction,27364,Familia C1,2026-01,1.0899860858917236,,Esta semana el cliente 27364 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,27451,Familia C1,2026-01,1.5166895389556885,,Esta semana el cliente 27451 podria comprar 2 unidades de Familia C1.,,,,
type_1_model_prediction,27465,Familia C1,2026-01,1.0218229293823242,,Esta semana el cliente 27465 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,27665,Familia C1,2026-01,1.0524412393569946,,Esta semana el cliente 27665 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,27680,Familia C1,2026-01,1.0390617847442627,,Esta semana el cliente 27680 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,27701,Familia C1,2026-01,1.2577569484710693,,Esta semana el cliente 27701 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,27726,Familia C1,2026-01,1.2119882106781006,,Esta semana el cliente 27726 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,27735,Familia C1,2026-01,1.2591439485549927,,Esta semana el cliente 27735 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,27764,Familia C1,2026-01,1.5501997470855713,,Esta semana el cliente 27764 podria comprar 2 unidades de Familia C1.,,,,
type_1_model_prediction,27850,Familia C1,2026-01,1.0423038005828857,,Esta semana el cliente 27850 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,27923,Familia C1,2026-01,1.136397361755371,,Esta semana el cliente 27923 podria comprar 1 unidades de Familia C1.,,,,
